id,title,description,municipality_type,is_divided_by_gender,publ_period,publication_date
N00000,"Personalkostnader som andel av verksamhetens kostnader i egen regi, andel (%)","Personalkostnader kommunen totalt, dividerat med verksamhetens kostnader kommun. Avser egen regi. Källa: SCB.",K,0,,
N00003,"Personalkostnader, kr/inv","Personalkostnader kommunen totalt, dividerat med antal invånare totalt 31/12. Avser egen regi. Källa: SCB.",K,0,2023,2024-08-31
N00005,"Utjämningssystemet enl resultaträkning, kr/inv","Kommunalekonomisk utjämning kommun, dividerat med antal invånare totalt 31/12 . Källa: SCB.",K,0,2023,2024-08-31
N00009,"Intäkter kommunen totalt, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och regioner för kommunen totalt, dividerat med antal invånare 31/12. Källa: SCB.",K,0,2023,2024-02-22
N00011,"Inkomstutjämning, bidrag/avgift, kr/inv. 1 nov fg år","Inkomstutjämning, bidrag/avgift, i kronor per invånare den 1/11 fg år. Källa: SCB.",K,0,2024,2023-12-21
N00012,"Kostnadsutjämning, bidrag/avgift, kr/inv","Kostnadsutjämning, bidrag/avgift, i kronor per invånare den 1/11 nov fg år. Källa: SCB.",K,0,2024,2023-12-21
N00014,"Regleringsbidrag/avgift, kr/inv (2005-)","Regleringsbidrag/avgift, i kronor per invånare den 1/11 fg år. Källa: SCB.",K,0,2024,2023-12-21
N00016,"Utjämningssystemet enl SCB, kr/inv","Utjämningssystemet enl SCB, kr/inv. Källa: SCB.",K,0,2024,2023-12-21
N00018,"Införandebidrag, kr/inv (2005-)","Införandebidrag, i kronor per invånare den 1/11 fg år. Källa: SCB.",K,0,2024,2023-12-21
N00019,"Strukturbidrag, kr/inv (2005-)","Strukturbidrag, i kronor per invånare den 1/11 fg år. Källa: SCB.",K,0,2024,2023-12-21
N00021,"Intäkter egentlig verksamhet, kr/inv","Externa intäkter exklusive intäkter från försäljning till andra kommuner och regioner för egentlig verksamhet, dividerat med antal invånare 31/12. Källa: SCB.",K,0,2023,2024-08-31
N00022,"Kostnadsutjämningsnetto förskola och skolbarnsomsorg, kr/inv 1 nov fg år",Kostnadsutjämningsnetto förskola och skolbarnomsorg beräknas som kommunens standardkostnad minus standardkostnaden för riket i tkr dividerat med antal invånare totalt 1/11 nov fg år. Källa: SCB.,K,0,2024,2023-12-21
N00023,"Kostnadsutjämningsnetto grundskola, kr/inv 1 nov fg år",Kostnadsutjämningsnetto grundskola beräknas som kommunens standardkostnad minus standardkostnad för riket i tkr dividerat med antal invånare totalt 1/11 fg år. Källa: SCB.,K,0,2024,2023-12-21
N00024,"Kostnadsutjämningsnetto äldreomsorg, kr/inv 1 nov fg år",Kostnadsutjämningsnetto äldreomsorg beräknas som kommunens standardkostnad minus standardkostnaden i riket i tkr dividerat med antal invånare totalt 1/11 nov fg år. Källa: SCB.,K,0,2024,2023-12-21
N00025,"Kostnadsutjämningsnetto individ- och familjeomsorg, kr/inv 1 nov fg år",Kostnadsutjämningsnetto individ- och familjeomsorg beräknas som kommunens standardkostnad minus standardkostnaden för riket i tkr dividerat med antal invånare totalt 1/11 fg år. Källa: SCB.,K,0,2024,2023-12-21
N00026,"Kostnadsutjämningsnetto gymnasieskolan, kr/inv 1 nov fg år",Kostnadsutjämningsnetto gymnasieskolan beräknas som kommunens standardkostnad minus standardkostnaden för riket i tkr dividerat med antal invånare totalt 1/11 fg år. Källa: SCB.,K,0,2024,2023-12-21
N00031,"Kostnadsutjämningsnetto kollektivtrafik, kr/inv 1 nov fg år",Kostnadsutjämningsnetto kollektivtrafik beräknas som kommunens standardkostnad minus standard i riket i tkr dividerat med antal invånare totalt 1/11 nov fg år. Källa: SCB.,K,0,2024,2023-12-21
N00040,"Underlag för utjämning, kr/inv. 1 nov fg år","Garanterad skattekraft, kr/inv. 1 nov fg år minus Skattekraft, kr/inv. 1 nov fg år. Källa: SCB.",K,0,2024,2023-12-21
N00041,"Länsvis skattesats, (%)","Länsvis skattesats, (%). Används i inkomstutjämningen. Består av kompensationsgrad, genomsnittlig skattesats basår och länsvisa skatteväxlingar. Källa: SCB.",K,0,2024,2023-12-21
N00042,"Garanterad skattekraft, kr/inv 1 nov fg år","Garanterad skattekraft, kr/inv. 1 nov fg år. Källa: SCB.",K,0,2024,2023-12-21
N00047,"Kompensationsgrad, (%)","Kompensationsgrad, (%). Ingår i inkomstutjämningens länsvisa skattesats. Sedan 2016 är den 85 % för avgiftskommuner och 95 % för bidragskommuner. Källa: SCB.",K,0,2024,2023-12-21
N00053,"Månadsavlönade totalt, kommun, antal",Antal anställda månadsavlönade totalt. Avser kommunalt anställda i november månad enligt HÖK. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personalstatistik (novemberstatistiken).\n,K,1,2023,2024-04-03
N00060,"Månadsavlönad personal, kommunalt anställda i ledningsarbete, antal","Månadsavlönad personal, antal kommunalt anställda i ledningsarbete. Antal som varit anställda eller har fått lön i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00061,"Månadsavlönad personal, kommunalt anställda handläggare, antal","Månadsavlönad personal, antal kommunalt anställda handläggare. Antal som varit anställda eller har fått lön i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
N00062,"Månadsavlönad personal, kommunalt anställda administratörer, antal","Månadsavlönad personal, antal kommunalt anställda administratörer. Antal som varit anställda eller har fått lön i november månad. Anställda inom kommunalförbund/kommunala bolag ingår inte. Källa: SKR:s personal- och lönestatistik (novemberstatistiken).",K,0,2023,2024-04-03
