id,title,type
1440,Ale,K
1489,Alingsås,K
0764,Alvesta,K
0604,Aneby,K
1984,Arboga,K
2506,Arjeplog,K
2505,Arvidsjaur,K
1784,Arvika,K
1882,Askersund,K
2084,Avesta,K
1460,Bengtsfors,K
2326,Berg,K
2403,Bjurholm,K
1260,Bjuv,K
2582,Boden,K
1443,Bollebygd,K
2183,Bollnäs,K
0885,Borgholm,K
2081,Borlänge,K
1490,Borås,K
0127,Botkyrka,K
0560,Boxholm,K
1272,Bromölla,K
2305,Bräcke,K
1231,Burlöv,K
1278,Båstad,K
1438,Dals-Ed,K
0162,Danderyd,K
1862,Degerfors,K
2425,Dorotea,K
1730,Eda,K
0125,Ekerö,K
0686,Eksjö,K
0862,Emmaboda,K
0381,Enköping,K
0484,Eskilstuna,K
1285,Eslöv,K
1445,Essunga,K
1982,Fagersta,K
1382,Falkenberg,K
1499,Falköping,K
2080,Falun,K
1782,Filipstad,K
0562,Finspång,K
0482,Flen,K
1763,Forshaga,K
1439,Färgelanda,K
2026,Gagnef,K
0662,Gislaved,K
0461,Gnesta,K
0617,Gnosjö,K
0980,Gotland,K
1764,Grums,K
1444,Grästorp,K
1447,Gullspång,K
2523,Gällivare,K
2180,Gävle,K
1480,Göteborg,K
1471,Götene,K
0643,Habo,K
1783,Hagfors,K
1861,Hallsberg,K
1961,Hallstahammar,K
1380,Halmstad,K
1761,Hammarö,K
0136,Haninge,K
2583,Haparanda,K
0331,Heby,K
2083,Hedemora,K
1283,Helsingborg,K
1466,Herrljunga,K
1497,Hjo,K
2104,Hofors,K
0126,Huddinge,K
2184,Hudiksvall,K
0860,Hultsfred,K
1315,Hylte,K
0305,Håbo,K
1863,Hällefors,K
2361,Härjedalen,K
2280,Härnösand,K
1401,Härryda,K
1293,Hässleholm,K
1284,Höganäs,K
0821,Högsby,K
1266,Hörby,K
1267,Höör,K
2510,Jokkmokk,K
0123,Järfälla,K
0680,Jönköping,K
2514,Kalix,K
0880,Kalmar,K
1446,Karlsborg,K
1082,Karlshamn,K
1883,Karlskoga,K
1080,Karlskrona,K
1780,Karlstad,K
0483,Katrineholm,K
1715,Kil,K
0513,Kinda,K
2584,Kiruna,K
1276,Klippan,K
0330,Knivsta,K
2282,Kramfors,K
1290,Kristianstad,K
1781,Kristinehamn,K
2309,Krokom,K
1881,Kumla,K
1384,Kungsbacka,K
1960,Kungsör,K
1482,Kungälv,K
1261,Kävlinge,K
1983,Köping,K
1381,Laholm,K
1282,Landskrona,K
1860,Laxå,K
1814,Lekeberg,K
2029,Leksand,K
1441,Lerum,K
0761,Lessebo,K
0186,Lidingö,K
1494,Lidköping,K
1462,Lilla Edet,K
1885,Lindesberg,K
0580,Linköping,K
0781,Ljungby,K
2161,Ljusdal,K
1864,Ljusnarsberg,K
1262,Lomma,K
2085,Ludvika,K
2580,Luleå,K
1281,Lund,K
2481,Lycksele,K
1484,Lysekil,K
1280,Malmö,K
2023,Malung-Sälen,K
2418,Malå,K
1493,Mariestad,K
1463,Mark,K
0767,Markaryd,K
1461,Mellerud,K
0586,Mjölby,K
2062,Mora,K
0583,Motala,K
0642,Mullsjö,K
1430,Munkedal,K
1762,Munkfors,K
1481,Mölndal,K
0861,Mönsterås,K
0840,Mörbylånga,K
0182,Nacka,K
1884,Nora,K
1962,Norberg,K
2132,Nordanstig,K
2401,Nordmaling,K
0581,Norrköping,K
0188,Norrtälje,K
2417,Norsjö,K
0881,Nybro,K
0140,Nykvarn,K
0480,Nyköping,K
0192,Nynäshamn,K
0682,Nässjö,K
2101,Ockelbo,K
1060,Olofström,K
2034,Orsa,K
1421,Orust,K
1273,Osby,K
0882,Oskarshamn,K
2121,Ovanåker,K
0481,Oxelösund,K
2521,Pajala,K
1402,Partille,K
1275,Perstorp,K
2581,Piteå,K
2303,Ragunda,K
0010,Region Blekinge,L
0020,Region Dalarna,L
0009,Region Gotland,L
0021,Region Gävleborg,L
0013,Region Halland,L
0023,Region Jämtland Härjedalen,L
0006,Region Jönköpings län,L
0008,Region Kalmar,L
0007,Region Kronoberg,L
0025,Region Norrbotten,L
0012,Region Skåne,L
0001,Region Stockholm,L
0004,Region Sörmland,L
0003,Region Uppsala,L
0017,Region Värmland,L
0024,Region Västerbotten,L
0022,Region Västernorrland,L
0019,Region Västmanland,L
0018,Region Örebro län,L
0005,Region Östergötland,L
0000,Riket,L
2409,Robertsfors,K
1081,Ronneby,K
2031,Rättvik,K
1981,Sala,K
0128,Salem,K
2181,Sandviken,K
0191,Sigtuna,K
1291,Simrishamn,K
1265,Sjöbo,K
1495,Skara,K
2482,Skellefteå,K
1904,Skinnskatteberg,K
1264,Skurup,K
1496,Skövde,K
2061,Smedjebacken,K
2283,Sollefteå,K
0163,Sollentuna,K
0184,Solna,K
2422,Sorsele,K
1427,Sotenäs,K
1230,Staffanstorp,K
1415,Stenungsund,K
0180,Stockholm,K
1760,Storfors,K
2421,Storuman,K
0486,Strängnäs,K
1486,Strömstad,K
2313,Strömsund,K
0183,Sundbyberg,K
2281,Sundsvall,K
1766,Sunne,K
1907,Surahammar,K
1214,Svalöv,K
1263,Svedala,K
1465,Svenljunga,K
1785,Säffle,K
2082,Säter,K
0684,Sävsjö,K
2182,Söderhamn,K
0582,Söderköping,K
0181,Södertälje,K
1083,Sölvesborg,K
1435,Tanum,K
1472,Tibro,K
1498,Tidaholm,K
0360,Tierp,K
2262,Timrå,K
0763,Tingsryd,K
1419,Tjörn,K
1270,Tomelilla,K
1737,Torsby,K
0834,Torsås,K
1452,Tranemo,K
0687,Tranås,K
1287,Trelleborg,K
1488,Trollhättan,K
0488,Trosa,K
0138,Tyresö,K
0160,Täby,K
1473,Töreboda,K
1485,Uddevalla,K
1491,Ulricehamn,K
2480,Umeå,K
0114,Upplands Väsby,K
0139,Upplands-Bro,K
0380,Uppsala,K
0760,Uppvidinge,K
0584,Vadstena,K
0665,Vaggeryd,K
0563,Valdemarsvik,K
0115,Vallentuna,K
2021,Vansbro,K
1470,Vara,K
1383,Varberg,K
0187,Vaxholm,K
1233,Vellinge,K
0685,Vetlanda,K
2462,Vilhelmina,K
0884,Vimmerby,K
2404,Vindeln,K
0428,Vingåker,K
1442,Vårgårda,K
1487,Vänersborg,K
2460,Vännäs,K
0120,Värmdö,K
0683,Värnamo,K
0883,Västervik,K
1980,Västerås,K
0014,Västra Götalandsregionen,L
0780,Växjö,K
0512,Ydre,K
1286,Ystad,K
1492,Åmål,K
2260,Ånge,K
2321,Åre,K
1765,Årjäng,K
2463,Åsele,K
1277,Åstorp,K
0561,Åtvidaberg,K
0765,Älmhult,K
2039,Älvdalen,K
0319,Älvkarleby,K
2560,Älvsbyn,K
1292,Ängelholm,K
1407,Öckerö,K
0509,Ödeshög,K
1880,Örebro,K
1257,Örkelljunga,K
2284,Örnsköldsvik,K
2380,Östersund,K
0117,Österåker,K
0382,Östhammar,K
1256,Östra Göinge,K
2513,Överkalix,K
2518,Övertorneå,K
